peptide_id,target_id,binding_prob,af_score,exp_score,dock_worst,dock_weighted,trust_exp,dock_source,unreliable,rank_P0_exp_only,rank_P1_worst_of_two,rank_P2_trust_weighted,rank_min,rank_max,rank_spread,rank_median,stable_top20,stable_top30,ever_top20,volatile
Capistruin,PLXNB1,0.9995,-11.985,-11.5,-11.5,-11.6698,0.65,both,False,49,23,34,23,49,26,34.0,False,False,True,False
RES-701-3,PLXNB1,1.0,-12.397,-11.2,-11.2,-11.6189,0.65,both,False,63,32,35,32,63,31,35.0,False,False,False,True
Anantin,ITGAV,0.9995,,-11.6,-11.6,-11.6,0.7,exp_only,False,43,20,36,20,43,23,36.0,False,False,True,False
Anantin,ITGB3,0.9977,,-11.6,-11.6,-11.6,0.7,exp_only,False,45,22,37,22,45,23,37.0,False,False,True,False
Capi-var1,EDNRB,0.9793,-3.687,-13.2,-3.687,-11.773,0.85,both,False,20,75,38,20,75,55,38.0,False,False,True,True
Capistruin,NPR1,0.9995,-11.87,-11.0,-11.0,-11.435,0.5,both,False,74,38,39,38,74,36,39.0,False,False,False,True
MccJ25,PLXNB1,0.9999,-15.389,-10.8,-10.8,-12.4062,0.65,both,False,80,42,26,26,80,54,42.0,False,False,True,True
Capi-var1,NPR1,0.9997,-11.869,-10.9,-10.9,-11.3845,0.5,both,False,78,40,42,40,78,38,42.0,False,False,False,True
Capi-var1,CLPB,0.9977,-12.085,-10.8,-10.8,-11.4425,0.5,both,False,81,43,40,40,81,41,43.0,False,False,False,True
Capistruin,C3,0.9995,-10.352,-11.6,-10.352,-11.4128,0.85,both,False,43,48,41,41,48,7,43.0,False,False,False,False
Capistruin,CLPB,0.9968,-13.328,-10.8,-10.8,-12.064,0.5,both,False,82,44,31,31,82,51,44.0,False,False,False,True
RES-701-3,ITGAV,1.0,,-11.3,-11.3,-11.3,0.7,exp_only,False,54,24,44,24,54,30,44.0,False,False,True,True
Capi-var1,ITGAV,0.9997,,-11.3,-11.3,-11.3,0.7,exp_only,False,56,26,45,26,56,30,45.0,False,False,True,True
Capistruin,ITGAV,0.9995,,-11.3,-11.3,-11.3,0.7,exp_only,False,57,27,46,27,57,30,46.0,False,False,True,True
RES-701-3,ITGB3,0.9995,,-11.3,-11.3,-11.3,0.7,exp_only,False,57,27,46,27,57,30,46.0,False,False,True,True
Capi-var1,C3,0.9997,-10.352,-11.5,-10.352,-11.3278,0.85,both,False,48,47,43,43,48,5,47.0,False,False,False,False
Capi-var1,ITGB3,0.9987,,-11.3,-11.3,-11.3,0.7,exp_only,False,59,29,48,29,59,30,48.0,False,False,False,True
Capistruin,ITGB3,0.998,,-11.3,-11.3,-11.3,0.7,exp_only,False,60,30,49,30,60,30,49.0,False,False,False,True
Capi-var1,PLXNB1,0.9997,-12.023,-10.7,-10.7,-11.163,0.65,both,False,85,45,50,45,85,40,50.0,False,False,False,True
RES-701-1,ITGAV,1.0,,-11.1,-11.1,-11.1,0.7,exp_only,False,69,34,51,34,69,35,51.0,False,False,False,True
RES-701-1,ITGB3,0.9996,,-11.1,-11.1,-11.1,0.7,exp_only,False,70,35,52,35,70,35,52.0,False,False,False,True
RES-701-1,MDM2,0.99,-9.914,-11.6,-9.914,-11.0099,0.65,both,False,46,52,55,46,55,9,52.0,False,False,False,False
Anantin,PLXNB1,0.9995,,-11.09,-11.09,-11.09,0.65,exp_only,False,71,37,53,37,71,34,53.0,False,False,False,True
Chaxapeptin,NPR1,0.8575,-12.37,-12.4,-12.37,-12.385,0.5,both,False,35,57,54,35,57,22,54.0,False,False,False,False
RES-701-3,MDM2,0.9882,-9.915,-11.5,-9.915,-10.9452,0.65,both,False,50,54,58,50,58,8,54.0,False,False,False,False
MccJ25,ITGAV,0.9999,,-10.9,-10.9,-10.9,0.7,exp_only,False,77,39,56,39,77,38,56.0,False,False,False,True
MccJ25,ITGB3,0.9995,,-10.9,-10.9,-10.9,0.7,exp_only,False,79,41,57,41,79,38,57.0,False,False,False,True
Siamycin-I,NPR1,0.863,-12.172,-11.8,-11.8,-11.986,0.5,both,False,51,58,62,51,62,11,58.0,False,False,False,False
Chaxapeptin,CLPB,0.8682,-12.573,-11.5,-11.5,-12.0365,0.5,both,False,67,60,59,59,67,8,60.0,False,False,False,False
Siamycin-I,C3,0.8632,-11.333,-12.1,-11.333,-11.985,0.85,both,False,39,64,61,39,64,25,61.0,False,False,False,False
Ubonodin,ITGAV,0.993,,-10.7,-10.7,-10.7,0.7,exp_only,False,86,46,63,46,86,40,63.0,False,False,False,True
Chaxapeptin,EDNRB,0.8627,-5.662,-13.0,-5.662,-11.8993,0.85,both,False,25,78,64,25,78,53,64.0,False,False,True,True
Chaxapeptin,PLXNB1,0.8581,-13.549,-11.3,-11.3,-12.0872,0.65,both,False,76,65,60,60,76,16,65.0,False,False,False,False
Ubonodin,ITGB3,0.9768,,-10.7,-10.7,-10.7,0.7,exp_only,False,87,49,65,49,87,38,65.0,False,False,False,True
Chaxapeptin,C3,0.8581,-9.905,-12.0,-9.905,-11.6857,0.85,both,False,42,69,66,42,69,27,66.0,False,False,False,False
Siamycin-I,ITGAV,0.8631,,-11.5,-11.5,-11.5,0.7,exp_only,False,68,63,67,63,68,5,67.0,False,False,False,False
Anantin,MDM2,0.9764,,-10.31,-10.31,-10.31,0.65,exp_only,False,96,51,68,51,96,45,68.0,False,False,False,True
Ubonodin,C3,0.993,-11.407,-9.8,-9.8,-10.041,0.85,both,False,110,53,69,53,110,57,69.0,False,False,False,True
MccJ25,PPIA,0.6586,-11.82,-13.3,-11.82,-13.152,0.9,both,False,32,77,70,32,77,45,70.0,False,False,False,True
Chaxapeptin,ITGB3,0.8683,,-10.9,-10.9,-10.9,0.7,exp_only,False,88,66,71,66,88,22,71.0,False,False,False,False
Chaxapeptin,ITGAV,0.8578,,-10.9,-10.9,-10.9,0.7,exp_only,False,89,67,72,67,89,22,72.0,False,False,False,False
MccJ25,MDM2,0.9902,-9.041,-9.5,-9.041,-9.3394,0.65,both,False,117,56,73,56,117,61,73.0,False,False,False,True
PB1m7,NPR1,0.6379,-12.858,-12.4,-12.4,-12.629,0.5,both,False,52,76,74,52,76,24,74.0,False,False,False,False
Capi-var1,MDM2,0.987,-8.161,-9.8,-8.161,-9.2264,0.65,both,False,111,62,76,62,111,49,76.0,False,False,False,True
Siamycin-I,ITGB3,0.7389,,-11.5,-11.5,-11.5,0.7,exp_only,False,83,72,77,72,83,11,77.0,False,False,False,False
Siamycin-I,CLPB,0.6254,-13.051,-12.0,-12.0,-12.5255,0.5,both,False,75,79,78,75,79,4,78.0,False,False,False,False
Capistruin,MDM2,0.9864,-7.077,-9.8,-7.077,-8.847,0.65,both,False,112,68,79,68,112,44,79.0,False,False,False,True
PB1m7,CLPB,0.5828,-12.489,-12.3,-12.3,-12.3945,0.5,both,False,66,84,80,66,84,18,80.0,False,False,False,False
PB1m7,PLXNB1,0.6389,-15.777,-10.9,-10.9,-12.607,0.65,both,False,103,81,75,75,103,28,81.0,False,False,False,False
Lassomycin,PPIA,0.5917,-10.641,-12.3,-10.641,-12.1341,0.9,both,False,65,87,81,65,87,22,81.0,False,False,False,False
Sphingopyxin-I,CLPB,0.4203,-14.608,-12.8,-12.8,-13.704,0.5,both,False,62,92,82,62,92,30,82.0,False,False,False,True
PB1m7,C3,0.6387,-11.068,-11.5,-11.068,-11.4352,0.85,both,False,90,80,83,80,90,10,83.0,False,False,False,False
Chaxapeptin,PPIA,0.5902,-10.791,-11.9,-10.791,-11.7891,0.9,both,False,84,86,84,84,86,2,84.0,False,False,False,False
Sphingopyxin-I,PPIA,0.4722,-11.944,-13.0,-11.944,-12.8944,0.9,both,False,47,91,85,47,91,44,85.0,False,False,False,True
Chaxapeptin,MDM2,0.8691,-8.155,-9.1,-8.155,-8.7692,0.65,both,False,132,70,86,70,132,62,86.0,False,False,False,True
PB1m7,ITGAV,0.6384,,-10.9,-10.9,-10.9,0.7,exp_only,False,104,82,87,82,104,22,87.0,False,False,False,False
PB1m7,ITGB3,0.6384,,-10.9,-10.9,-10.9,0.7,exp_only,False,104,82,87,82,104,22,87.0,False,False,False,False
Capistruin,PPIA,0.5761,-11.355,-11.5,-11.355,-11.4855,0.9,both,False,95,85,89,85,95,10,89.0,False,False,False,False
Anantin,PPIA,0.3629,,-13.46,-13.46,-13.46,0.9,exp_only,False,40,93,90,40,93,53,90.0,False,False,False,True
Lassomycin,FKBP1A,0.5232,-10.701,-11.7,-10.701,-11.6001,0.9,both,False,91,90,91,90,91,1,91.0,False,False,False,False
Capi-var1,PPIA,0.5523,-11.354,-11.3,-11.3,-11.3054,0.9,both,False,98,88,92,88,98,10,92.0,False,False,False,False
RES-701-1,PPIA,0.3616,-11.401,-13.0,-11.401,-12.8401,0.9,both,False,61,95,93,61,95,34,93.0,False,False,False,True
RES-701-3,PPIA,0.3435,-11.401,-13.0,-11.401,-12.8401,0.9,both,False,64,97,94,64,97,33,94.0,False,False,False,True
Siamycin-I,PLXNB1,0.8633,1.472,-12.2,1.472,-7.4148,0.65,both,True,37,94,96,37,96,59,94.0,False,False,False,True
Sphingopyxin-I,POLR2A,0.1908,-15.436,-13.9,-13.9,-14.2072,0.8,both,False,41,98,95,41,98,57,95.0,False,False,False,True
Ubonodin,PPIA,0.1977,-11.706,-14.0,-11.706,-13.7706,0.9,both,False,38,102,97,38,102,64,97.0,False,False,False,True
Lariocidin,PPIA,0.6466,,,,,0.9,none,False,92,99,98,92,99,7,98.0,False,False,False,False
Sphingopyxin-I,MDM2,0.6124,-8.876,-9.2,-8.876,-9.0866,0.65,both,False,137,89,99,89,137,48,99.0,False,False,False,True
Sphingopyxin-I,NPR1,0.1896,-13.833,-12.2,-12.2,-13.0165,0.5,both,False,101,101,100,100,101,1,101.0,False,False,False,False
Sphingopyxin-I,ITGB3,0.357,,-11.2,-11.2,-11.2,0.7,exp_only,False,120,96,101,96,120,24,101.0,False,False,False,False
Lassomycin,CLPB,0.0058,-12.633,-15.825,-12.633,-14.229,0.5,both,False,21,123,102,21,123,102,102.0,False,False,True,True
RES-701-1,FKBP1A,0.1522,-13.07,-12.7,-12.7,-12.737,0.9,both,False,93,105,103,93,105,12,103.0,False,False,False,False
Anantin,FKBP1A,0.1664,,-12.34,-12.34,-12.34,0.9,exp_only,False,100,104,104,100,104,4,104.0,False,False,False,False
RES-701-3,FKBP1A,0.1506,-12.976,-12.4,-12.4,-12.4576,0.9,both,False,99,107,105,99,107,8,105.0,False,False,False,False
MccJ25,FKBP1A,0.2746,-11.633,-11.1,-11.1,-11.1533,0.9,both,False,126,100,106,100,126,26,106.0,False,False,False,False
PB1m7,EDNRB,0.1881,-3.395,-13.3,-3.395,-11.8142,0.85,both,False,73,133,109,73,133,60,109.0,False,False,False,True
Sphingopyxin-I,PLXNB1,0.1902,-11.161,-12.1,-11.161,-11.7714,0.65,both,False,107,110,110,107,110,3,110.0,False,False,False,False
Lariocidin,EDNRB,0.489,,,,,0.85,none,False,102,115,111,102,115,13,111.0,False,False,False,False
Capi-var1,FKBP1A,0.2125,-9.773,-11.9,-9.773,-11.6873,0.9,both,False,114,112,108,108,114,6,112.0,False,False,False,False
Lassomycin,POLR2A,0.0002,-14.197,-13.1,-13.1,-13.3194,0.8,both,False,94,120,112,94,120,26,112.0,False,False,False,False
Capistruin,FKBP1A,0.2132,-9.709,-11.9,-9.709,-11.6809,0.9,both,False,113,113,107,107,113,6,113.0,False,False,False,False
Lariocidin,FKBP1A,0.4729,,,,,0.9,none,False,106,116,113,106,116,10,113.0,False,False,False,False
Lariocidin,MDM2,0.4646,,,,,0.65,none,False,108,117,114,108,117,9,114.0,False,False,False,False
Sphingopyxin-I,FKBP1A,0.2058,-12.221,-11.1,-11.1,-11.2121,0.9,both,False,129,106,115,106,129,23,115.0,False,False,False,False
Siamycin-I,PPIA,0.0639,-11.048,-12.7,-11.048,-12.5348,0.9,both,False,97,122,116,97,122,25,116.0,False,False,False,False
Sphingopyxin-I,ITGAV,0.19,,-11.2,-11.2,-11.2,0.7,exp_only,False,128,108,117,108,128,20,117.0,False,False,False,False
Chaxapeptin,FKBP1A,0.2466,-10.152,-10.7,-10.152,-10.6452,0.9,both,False,133,103,118,103,133,30,118.0,False,False,False,True
PB1m7,PPIA,0.069,-11.283,-12.4,-11.283,-12.2883,0.9,both,False,109,119,119,109,119,10,119.0,False,False,False,False
Lassomycin,EDNRB,0.082,-3.973,-13.6,-3.973,-12.1559,0.85,both,False,72,139,120,72,139,67,120.0,False,False,False,True
Sphingopyxin-I,C3,0.1904,-12.528,-10.6,-10.6,-10.8892,0.85,both,False,136,111,122,111,136,25,122.0,False,False,False,False
Lassomycin,NPR1,0.0002,-12.802,-12.2,-12.2,-12.501,0.5,both,False,118,125,123,118,125,7,123.0,False,False,False,False
PB1m7,MDM2,0.2397,-10.057,-9.8,-9.8,-9.89,0.65,both,False,139,109,124,109,139,30,124.0,False,False,False,True
Lariocidin,CLPB,0.3499,,,,,0.5,none,False,116,127,125,116,127,11,125.0,False,False,False,False
Lassomycin,PLXNB1,0.0002,-14.521,-11.8,-11.8,-12.7524,0.65,both,False,127,126,121,121,127,6,126.0,False,False,False,False
Siamycin-I,FKBP1A,0.0538,-11.594,-11.4,-11.4,-11.4194,0.9,both,False,131,121,126,121,131,10,126.0,False,False,False,False
Lariocidin,ITGB3,0.3093,,,,,0.7,none,False,119,132,127,119,132,13,127.0,False,False,False,False
PB1m7,FKBP1A,0.0567,-10.74,-11.1,-10.74,-11.064,0.9,both,False,135,124,128,124,135,11,128.0,False,False,False,False
Siamycin-I,MDM2,0.207,-9.612,-9.6,-9.6,-9.6042,0.65,both,False,142,114,129,114,142,28,129.0,False,False,False,False
Ubonodin,FKBP1A,0.1146,-10.492,-10.3,-10.3,-10.3192,0.9,both,False,138,118,130,118,138,20,130.0,False,False,False,False
Sphingopyxin-I,EDNRB,0.6481,41.467,-13.4,41.467,-5.17,0.85,both,True,29,141,131,29,141,112,131.0,False,False,False,True
Lassomycin,C3,0.0002,-10.43,-11.3,-10.43,-11.1695,0.85,both,False,134,129,132,129,134,5,132.0,False,False,False,False
Lariocidin,POLR2A,0.2002,,,,,0.8,none,False,121,134,133,121,134,13,133.0,False,False,False,False
Lariocidin,PLXNB1,0.2001,,,,,0.65,none,False,122,135,134,122,135,13,134.0,False,False,False,False
Lariocidin,C3,0.2001,,,,,0.85,none,False,122,135,134,122,135,13,134.0,False,False,False,False
Lariocidin,ITGAV,0.1999,,,,,0.7,none,False,124,137,136,124,137,13,136.0,False,False,False,False
Lariocidin,NPR1,0.1997,,,,,0.5,none,False,125,138,137,125,138,13,137.0,False,False,False,False
Lassomycin,ITGB3,0.0026,,-10.4,-10.4,-10.4,0.7,exp_only,False,140,128,138,128,140,12,138.0,False,False,False,False
Lassomycin,ITGAV,0.0002,,-10.4,-10.4,-10.4,0.7,exp_only,False,141,130,139,130,141,11,139.0,False,False,False,False
Lassomycin,MDM2,0.0527,-8.612,-9.9,-8.612,-9.4492,0.65,both,False,143,131,140,131,143,12,140.0,False,False,False,False
Ubonodin,MDM2,0.8836,27.954,-9.2,27.954,3.8039,0.65,both,True,130,140,142,130,142,12,140.0,False,False,False,False
Siamycin-I,EDNRB,0.1552,43.888,-13.7,43.888,-5.0618,0.85,both,True,53,142,141,53,142,89,141.0,False,False,False,True
Ubonodin,PLXNB1,0.993,147.299,-9.7,147.299,45.2496,0.65,both,True,115,143,143,115,143,28,143.0,False,False,False,False
