final_rank,peptide_id,target_id,composite_final,binding_prob,dock,evidence,struct_source
84,Siamycin-I,PPIA,-0.4192,0.0639,-12.7,,experimental PDB
85,RES-701-3,FKBP1A,-0.4436,0.1506,-12.4,,experimental PDB
86,Anantin,FKBP1A,-0.4502,0.1664,-12.34,,PREDICTED (LassoPred+tleap)
87,Sphingopyxin-I,NPR1,-0.4807,0.1896,-12.2,,experimental PDB
88,Lariocidin,EDNRB,-0.4947,0.489,,,experimental PDB
89,Lariocidin,FKBP1A,-0.5125,0.4729,,,experimental PDB
90,Sphingopyxin-I,PLXNB1,-0.5201,0.1902,-12.1,,experimental PDB
91,Lariocidin,MDM2,-0.5216,0.4646,,,experimental PDB
92,Ubonodin,C3,-0.5548,0.993,-9.8,,experimental PDB
93,Capistruin,MDM2,-0.5621,0.9864,-9.8,,experimental PDB
94,Capistruin,FKBP1A,-0.5749,0.2132,-11.9,,experimental PDB
95,Ubonodin,PLXNB1,-0.5949,0.993,-9.7,,experimental PDB
96,Lariocidin,CLPB,-0.6484,0.3499,,,experimental PDB
97,MccJ25,MDM2,-0.6782,0.9902,-9.5,,experimental PDB
98,Lassomycin,NPR1,-0.69,0.0002,-12.2,,experimental PDB
99,Lariocidin,ITGB3,-0.6933,0.3093,,,experimental PDB
100,Sphingopyxin-I,ITGB3,-0.6965,0.357,-11.2,,experimental PDB
101,Lariocidin,POLR2A,-0.8139,0.2002,,,experimental PDB
102,Lariocidin,C3,-0.814,0.2001,,,experimental PDB
103,Lariocidin,PLXNB1,-0.814,0.2001,,,experimental PDB
104,Lariocidin,ITGAV,-0.8142,0.1999,,,experimental PDB
105,Lariocidin,NPR1,-0.8144,0.1997,,,experimental PDB
106,MccJ25,FKBP1A,-0.8277,0.2746,-11.1,,experimental PDB
107,Lassomycin,PLXNB1,-0.8504,0.0002,-11.8,,experimental PDB
108,Sphingopyxin-I,ITGAV,-0.8811,0.19,-11.2,,experimental PDB
109,Sphingopyxin-I,FKBP1A,-0.9037,0.2058,-11.1,,experimental PDB
110,Ubonodin,MDM2,-0.9163,0.8836,-9.2,,experimental PDB
111,Siamycin-I,FKBP1A,-0.9515,0.0538,-11.4,,experimental PDB
112,Chaxapeptin,MDM2,-0.9724,0.8691,-9.1,,experimental PDB
113,Chaxapeptin,FKBP1A,-1.019,0.2466,-10.7,,experimental PDB
114,Lassomycin,C3,-1.0508,0.0002,-11.3,,experimental PDB
115,Sphingopyxin-I,C3,-1.1212,0.1904,-10.6,,experimental PDB
116,Sphingopyxin-I,MDM2,-1.216,0.6124,-9.2,,experimental PDB
117,Ubonodin,FKBP1A,-1.3252,0.1146,-10.3,,experimental PDB
118,Lassomycin,ITGB3,-1.4089,0.0026,-10.4,,experimental PDB
119,Lassomycin,ITGAV,-1.4116,0.0002,-10.4,,experimental PDB
120,Siamycin-I,MDM2,-1.5037,0.207,-9.6,,experimental PDB
121,Lassomycin,MDM2,-1.554,0.0527,-9.9,,experimental PDB
